id,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league,
0,Ederson,,29,1.88,Brazil  Portugal,Osasco (SP),45.0,70.0,Goalkeeper,31,left,Man City,2026-06-30,2017-07-01,Gestifute,Puma,EPL,
1,Stefan Ortega,Stefan Ortega Moreno,30,1.85,Germany  Spain,Hofgeismar,6.0,6.0,Goalkeeper,18,right,Man City,2025-06-30,2022-07-01,neblung ...,,EPL,
2,Scott Carson,Scott Paul Carson,37,1.88,England,Whitehaven,0.25,6.0,Goalkeeper,33,right,Man City,2023-06-30,2021-07-20,Wasserman,Puma,EPL,
3,Rúben Dias,Rúben Santos Gato Alves Dias,26,1.87,Portugal,Amadora,75.0,75.0,Defender - Centre-Back,3,right,Man City,2027-06-30,2020-09-29,Gestifute,Nike,EPL,1
4,Nathan Aké,Nathan Benjamin Aké,28,1.8,Netherlands  Cote d'Ivoire,Den Haag,35.0,40.0,Defender - Centre-Back,6,left,Man City,2025-06-30,2020-08-05,Wasserman,Nike,EPL,
5,John Stones,,28,1.88,England,Barnsley,30.0,60.0,Defender - Centre-Back,5,right,Man City,2026-06-30,2016-08-09,Wasserman,Nike,EPL,
6,Aymeric Laporte,Aymeric Jean Louis Gerard Alphonse Laporte,28,1.89,Spain  France,Agen,30.0,75.0,Defender - Centre-Back,14,left,Man City,2025-06-30,2018-01-30,,adidas,EPL,
7,Manuel Akanji,Manuel Obafemi Akanji,27,1.88,Switzerland  Nigeria,Wiesendangen,30.0,40.0,Defender - Centre-Back,25,right,Man City,2027-06-30,2022-09-01,IFM,Nike,EPL,
8,Sergio Gómez,Sergio Gómez Martín,22,1.71,Spain,Badalona,15.0,15.0,Defender - Left-Back,21,left,Man City,2026-06-30,2022-08-16,SEG,,EPL,
9,Benjamin Mendy,,28,1.85,France  Senegal,Longjumeau,,45.0,Defender - Left-Back,22,left,Man City,2023-06-30,2017-07-24,Sport Cover,adidas,EPL,
10,Kyle Walker,Kyle Andrew Walker,32,1.83,England,Sheffield,15.0,50.0,Defender - Right-Back,2,right,Man City,2024-06-30,2017-07-14,CAA Base Ltd,Puma,EPL,
11,Rico Lewis,Rico Henry Mark Lewis,18,1.69,England,Bury,15.0,15.0,Defender - Right-Back,82,right,Man City,2024-06-30,2022-07-01,CAA Base Ltd,,EPL,
12,Rodri,,26,1.91,Spain,Madrid,80.0,80.0,midfield - Defensive Midfield,16,right,Man City,2027-06-30,2019-07-04,Pablo Barquero,Nike,EPL,
13,Kalvin Phillips,Kalvin Mark Phillips,27,1.79,England  Jamaica,Leeds,35.0,50.0,midfield - Defensive Midfield,4,right,Man City,2028-06-30,2022-07-04,CAA Stellar,,EPL,
14,Máximo Perrone,,20,1.77,Argentina  Spain,Buenos Aires,10.0,10.0,midfield - Defensive Midfield,32,left,Man City,2028-06-30,2023-01-23,,,EPL,
15,Ilkay Gündogan,İlkay Gündoğan,32,1.8,Germany,Gelsenkirchen,25.0,50.0,midfield - Central Midfield,8,right,Man City,2023-06-30,2016-07-01,KIN Partners,adidas,EPL,
16,Kevin De Bruyne,,31,1.81,Belgium,Drongen,80.0,150.0,midfield - Attacking Midfield,17,right,Man City,2025-06-30,2015-08-30,,Nike,EPL,
17,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,28,1.73,Portugal,Lisboa,80.0,100.0,midfield - Attacking Midfield,20,left,Man City,2025-06-30,2017-07-01,Gestifute,adidas,EPL,
18,Cole Palmer,Cole Jermaine Palmer,21,1.82,England,Manchester,15.0,15.0,midfield - Attacking Midfield,80,left,Man City,2026-06-30,2021-07-01,CAA Base Ltd,Nike,EPL,
19,Phil Foden,Philip Walter Foden,22,1.71,England,Stockport,110.0,110.0,Attack - Left Winger,47,left,Man City,2027-06-30,2017-07-01,,Nike,EPL,
20,Jack Grealish,Jack Peter Grealish,27,1.8,England  Ireland,Birmingham,70.0,100.0,Attack - Left Winger,10,right,Man City,2027-06-30,2021-08-05,CAA Stellar,Nike,EPL,
21,Riyad Mahrez,رياض محرز,32,1.79,Algeria  France,Sarcelles,30.0,60.0,Attack - Right Winger,26,left,Man City,2025-06-30,2018-07-10,,Nike,EPL,
22,Erling Haaland,Erling Braut Håland,22,1.95,Norway,Leeds,170.0,170.0,Attack - Centre-Forward,9,left,Man City,2027-06-30,2022-07-01,Rafaela Pimenta,Nike,EPL,
23,Julián Álvarez,,23,1.7,Argentina,Calchín,50.0,50.0,Attack - Centre-Forward,19,right,Man City,2028-06-30,2022-01-31,Fernando Hidalgo,adidas,EPL,
24,Edouard Mendy,Édouard Osoque Mendy,31,1.94,Senegal  Guinea-Bissau,Montivilliers,18.0,32.0,Goalkeeper,16,right,Chelsea,2025-06-30,2020-09-24,LIAN Sports Group,adidas,EPL,
25,Kepa Arrizabalaga,Kepa Arrizabalaga Revuelta,28,1.86,Spain,Ondarroa,15.0,60.0,Goalkeeper,1,right,Chelsea,2025-06-30,2018-08-08,AC Talent,adidas,EPL,
26,Gabriel Slonina,Gabriel Paweł Słonina,19,1.93,United States  Poland,"Addison, Illinois",8.0,8.0,Goalkeeper,36,right,Chelsea,2028-06-30,2022-08-02,SXI,,EPL,
27,Marcus Bettinelli,,30,1.93,England  Italy,London,2.0,4.0,Goalkeeper,13,right,Chelsea,2026-06-30,2021-07-28,World in Motion,,EPL,
28,Wesley Fofana,,22,1.86,France  Cote d'Ivoire,Marseille,65.0,65.0,Defender - Centre-Back,33,right,Chelsea,2029-06-30,2022-08-31,TTMA,adidas,EPL,
29,Benoît Badiashile,Benoît Badiashile Mukinayi,22,1.94,France  DR Congo,Limoges,40.0,40.0,Defender - Centre-Back,4,left,Chelsea,2030-06-30,2023-01-05,,adidas,EPL,
30,Kalidou Koulibaly,Kalidou Koulibaly,31,1.86,Senegal  France,Saint-Dié-des-Vosges,25.0,75.0,Defender - Centre-Back,26,right,Chelsea,2026-06-30,2022-07-16,LIAN Sports Group,Puma,EPL,
31,Trevoh Chalobah,Trevoh Thomas Chalobah,23,1.92,England  Sierra Leone,Freetown,22.0,22.0,Defender - Centre-Back,14,right,Chelsea,2028-06-30,2021-07-01,CAA Base Ltd,Nike,EPL,
32,Thiago Silva,Thiago Emiliano da Silva,38,1.81,Brazil  France,Rio de Janeiro,2.5,40.0,Defender - Centre-Back,6,right,Chelsea,2024-06-30,2020-08-28,Paulo Tonietto,Nike,EPL,
33,Marc Cucurella,Marc Cucurella Saseta,24,1.73,Spain,Alella,40.0,55.0,Defender - Left-Back,32,left,Chelsea,2028-06-30,2022-08-05,EMG Mundial,Puma,EPL,
34,Ben Chilwell,Benjamin James Chilwell,26,1.8,England,Milton Keynes,35.0,50.0,Defender - Left-Back,21,left,Chelsea,2027-06-30,2020-08-26,CAA Stellar,Nike,EPL,
35,Reece James,,23,1.8,England,London,70.0,70.0,Defender - Right-Back,24,right,Chelsea,2028-06-30,2019-07-01,Unique Sports Group,Nike,EPL,
36,César Azpilicueta,César Azpilicueta Tanco,33,1.78,Spain,Pamplona,8.0,40.0,Defender - Right-Back,28,right,Chelsea,2024-06-30,2012-08-24,Relatives,adidas,EPL,
37,Enzo Fernández,Enzo Jeremías Fernández,22,1.78,Argentina,San Martín,85.0,85.0,midfield - Defensive Midfield,5,right,Chelsea,2031-06-30,2023-01-31,DE 9 FÚTBOL,,EPL,
38,N'Golo Kanté,,32,1.71,France  Mali,Paris,20.0,100.0,midfield - Defensive Midfield,7,right,Chelsea,2023-06-30,2016-07-16,KDS FM,adidas,EPL,
39,Denis Zakaria,Denis Lemi Zakaria Lako Lado,26,1.9,Switzerland  DR Congo,Genf,20.0,45.0,midfield - Defensive Midfield,20,right,Chelsea,2023-06-30,2022-09-01,HCM Sports ...,adidas,EPL,
40,Mateo Kovacic,Mateo Kovačić,29,1.77,Croatia,Linz,40.0,45.0,midfield - Central Midfield,8,right,Chelsea,2024-06-30,2019-07-01,VPA Sports,Nike,EPL,
41,Conor Gallagher,,23,1.82,England,Epsom,32.0,32.0,midfield - Central Midfield,23,right,Chelsea,2025-06-30,2022-07-01,Elite Management ...,,EPL,
42,Ruben Loftus-Cheek,Ruben Ira Loftus-Cheek,27,1.91,England  Guyana,London,25.0,30.0,midfield - Central Midfield,12,right,Chelsea,2024-06-30,2015-01-01,CAA Stellar,adidas,EPL,
43,Carney Chukwuemeka,Carney Chibueze Chukwuemeka,19,1.87,England  Nigeria,Eisenstadt,15.0,15.0,midfield - Central Midfield,30,right,Chelsea,2028-06-30,2022-08-04,,,EPL,
44,Mason Mount,Mason Tony Mount,24,1.81,England,Portsmouth,65.0,75.0,midfield - Attacking Midfield,19,right,Chelsea,2024-06-30,2019-07-01,Relatives,Nike,EPL,
45,Kai Havertz,Kai Lukas Havertz,23,1.93,Germany,Aachen,60.0,90.0,midfield - Attacking Midfield,29,left,Chelsea,2025-06-30,2020-09-04,ROOF,Nike,EPL,
46,Mykhaylo Mudryk,Мудрик Михайло Петрович,22,1.75,Ukraine,"Krasnograd, Kharkiv Oblast",60.0,60.0,Attack - Left Winger,15,right,Chelsea,2031-06-30,2023-01-15,ALIK FOOTBALL ...,Nike,EPL,
47,Raheem Sterling,Raheem Shaquille Sterling,28,1.7,England  Jamaica,Kingston,60.0,160.0,Attack - Left Winger,17,right,Chelsea,2027-06-30,2022-07-13,Relatives,New Balance,EPL,
48,Christian Pulisic,Christian Mate Pulišić,24,1.77,United States  Croatia,"Hershey, Pennsylvania",32.0,60.0,Attack - Right Winger,10,right,Chelsea,2024-06-30,2019-01-02,Relatives,Puma,EPL,
49,Noni Madueke,Chukwunonso Tristan Madueke,21,1.82,England  Nigeria,London,28.0,28.0,Attack - Right Winger,31,left,Chelsea,2030-06-30,2023-01-20,,adidas,EPL,
50,Hakim Ziyech,حكيم زيياش,30,1.81,Morocco  Netherlands,Dronten,18.0,50.0,Attack - Right Winger,22,left,Chelsea,2025-06-30,2020-07-01,HZ INTERNATIONAL,Nike,EPL,
